Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
GMR (Greater Metropolitan Region),Total,Total,Ryde,Non Strata,1741,1973,2439,2105,158,12.71%,12.71%,-33.61%,24.41%
GMR (Greater Metropolitan Region),Total,Total,Ryde,Strata,665,800,971,843,453,3.90%,5.68%,8.89%,26.54%
GMR (Greater Metropolitan Region),Total,Total,Shellharbour,Total,590,681,821,725,348,8.88%,11.56%,-3.33%,13.73%
GMR (Greater Metropolitan Region),Total,Total,Shellharbour,Non Strata,641,725,875,777,258,9.02%,12.40%,-5.49%,9.79%
GMR (Greater Metropolitan Region),Total,Total,Shellharbour,Strata,508,565,623,575,90,4.63%,10.24%,3.45%,26.76%
GMR (Greater Metropolitan Region),Total,Total,Strathfield,Total,600,660,780,1039,209,-9.59%,-1.64%,-21.13%,22.22%
GMR (Greater Metropolitan Region),Total,Total,Strathfield,Non Strata,1906,2873,3184,2622,42,9.64%,38.23%,-35.38%,7.69%
GMR (Greater Metropolitan Region),Total,Total,Strathfield,Strata,576,635,685,641,167,-4.87%,-2.31%,-16.50%,26.52%
GMR (Greater Metropolitan Region),Total,Total,Sutherland Shire,Total,786,1130,1503,1203,"1,166",2.26%,12.44%,-9.05%,38.64%
GMR (Greater Metropolitan Region),Total,Total,Sutherland Shire,Non Strata,1236,1465,1760,1563,511,9.74%,12.69%,-22.69%,25.86%
GMR (Greater Metropolitan Region),Total,Total,Sutherland Shire,Strata,681,813,1043,921,655,1.63%,9.13%,5.48%,50.57%
GMR (Greater Metropolitan Region),Total,Total,Sydney,Total,775,995,1497,1235,"1,300",0.00%,-2.45%,0.39%,36.13%
GMR (Greater Metropolitan Region),Total,Total,Sydney,Non Strata,1491,1750,2248,1936,222,-2.78%,3.21%,-10.12%,54.17%
GMR (Greater Metropolitan Region),Total,Total,Sydney,Strata,745,918,1225,1090,"1,078",2.11%,-2.39%,2.86%,32.92%
GMR (Greater Metropolitan Region),Total,Total,The Hills Shire,Total,999,1350,1760,1411,788,11.11%,14.41%,-16.79%,39.47%
GMR (Greater Metropolitan Region),Total,Total,The Hills Shire,Non Strata,1270,1500,1870,1602,590,13.55%,15.38%,-19.40%,39.81%
GMR (Greater Metropolitan Region),Total,Total,The Hills Shire,Strata,697,819,979,841,198,-1.95%,2.99%,-7.91%,38.46%
GMR (Greater Metropolitan Region),Total,Total,Waverley,Total,1123,1580,3083,2346,371,-1.25%,-1.25%,-9.73%,18.15%
GMR (Greater Metropolitan Region),Total,Total,Waverley,Non Strata,2710,3560,4600,4035,103,5.95%,17.49%,-20.16%,1.98%
GMR (Greater Metropolitan Region),Total,Total,Waverley,Strata,1000,1365,1700,1697,268,10.08%,3.80%,-4.96%,25.82%
GMR (Greater Metropolitan Region),Total,Total,Willoughby,Total,995,1725,2910,2055,263,-10.39%,-1.99%,-13.20%,29.56%
GMR (Greater Metropolitan Region),Total,Total,Willoughby,Non Strata,2507,2970,3700,3124,125,12.08%,13.79%,-25.60%,31.58%
GMR (Greater Metropolitan Region),Total,Total,Willoughby,Strata,864,1015,1215,1087,138,6.62%,-4.25%,2.22%,27.78%
GMR (Greater Metropolitan Region),Total,Total,Wollondilly,Total,661,813,1129,900,202,8.40%,8.94%,-15.48%,40.28%
GMR (Greater Metropolitan Region),Total,Total,Wollondilly,Non Strata,685,830,1180,922,193,8.50%,7.93%,-16.45%,44.03%
GMR (Greater Metropolitan Region),Total,Total,Wollondilly,Strata,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Total,Total,Wollongong,Total,577,720,922,793,900,0.00%,5.11%,-10.98%,33.53%
GMR (Greater Metropolitan Region),Total,Total,Wollongong,Non Strata,690,853,1092,923,514,2.80%,13.77%,-15.32%,18.71%
GMR (Greater Metropolitan Region),Total,Total,Wollongong,Strata,499,600,716,620,386,0.42%,2.56%,-4.46%,60.17%
GMR (Greater Metropolitan Region),Total,Total,Woollahra,Total,1350,2195,4175,2951,306,-12.02%,4.52%,-17.96%,23.89%
GMR (Greater Metropolitan Region),Total,Total,Woollahra,Non Strata,2990,4287,5828,4594,107,8.53%,11.35%,-25.69%,3.88%
GMR (Greater Metropolitan Region),Total,Total,Woollahra,Strata,1150,1640,2490,2067,199,4.09%,13.10%,-13.10%,38.19%
GMR (Greater Metropolitan Region),Total,Inner Ring,Total,Total,850,1270,1985,1677,"4,047",-2.31%,0.79%,-9.69%,27.34%
GMR (Greater Metropolitan Region),Total,Inner Ring,Total,Non Strata,1725,2300,3300,2775,"1,221",6.98%,9.00%,-19.03%,28.93%
GMR (Greater Metropolitan Region),Total,Inner Ring,Total,Strata,765,968,1370,1203,"2,826",0.34%,-3.66%,-4.94%,26.67%
GMR (Greater Metropolitan Region),Total,Inner Ring,Inner West,Total,780,1350,1810,1389,785,0.52%,3.85%,-17.11%,31.93%
GMR (Greater Metropolitan Region),Total,Inner Ring,Inner West,Non Strata,1530,1798,2160,1884,410,6.99%,5.74%,-24.07%,25.38%
GMR (Greater Metropolitan Region),Total,Inner Ring,Inner West,Strata,657,770,948,848,375,-5.17%,-6.10%,-7.86%,39.93%
GMR (Greater Metropolitan Region),Total,Inner Ring,Lane Cove,Total,715,875,2075,1477,199,-7.21%,-9.11%,-11.95%,11.80%
GMR (Greater Metropolitan Region),Total,Inner Ring,Lane Cove,Non Strata,2420,2950,3775,3089,55,18.00%,18.66%,-28.57%,37.50%
GMR (Greater Metropolitan Region),Total,Inner Ring,Lane Cove,Strata,697,773,930,861,144,0.12%,-11.97%,-3.36%,4.35%
GMR (Greater Metropolitan Region),Total,Inner Ring,Mosman,Total,1023,2050,4380,2901,145,-11.35%,56.49%,-12.65%,12.40%
GMR (Greater Metropolitan Region),Total,Inner Ring,Mosman,Non Strata,3763,4750,6150,5059,60,7.95%,17.28%,-22.08%,30.43%
GMR (Greater Metropolitan Region),Total,Inner Ring,Mosman,Strata,880,1120,1575,1378,85,4.67%,12.00%,-4.49%,2.41%
GMR (Greater Metropolitan Region),Total,Inner Ring,North Sydney,Total,938,1295,1980,1663,394,2.37%,2.37%,-17.23%,11.61%
GMR (Greater Metropolitan Region),Total,Inner Ring,North Sydney,Non Strata,2400,3300,4150,3451,71,10.83%,22.22%,-1.39%,54.35%
GMR (Greater Metropolitan Region),Total,Inner Ring,North Sydney,Strata,868,1180,1520,1269,323,0.00%,0.85%,-20.05%,5.21%
GMR (Greater Metropolitan Region),Total,Inner Ring,Randwick,Total,899,1370,2286,1736,547,-2.14%,-9.27%,-6.81%,34.40%
GMR (Greater Metropolitan Region),Total,Inner Ring,Randwick,Non Strata,2160,2700,3500,2903,193,17.39%,14.99%,-13.06%,37.86%
GMR (Greater Metropolitan Region),Total,Inner Ring,Randwick,Strata,806,989,1319,1100,354,3.10%,-10.11%,-3.01%,32.58%
GMR (Greater Metropolitan Region),Total,Inner Ring,Sydney,Total,775,995,1497,1235,"1,300",0.00%,-2.45%,0.39%,36.13%
GMR (Greater Metropolitan Region),Total,Inner Ring,Sydney,Non Strata,1491,1750,2248,1936,222,-2.78%,3.21%,-10.12%,54.17%
GMR (Greater Metropolitan Region),Total,Inner Ring,Sydney,Strata,745,918,1225,1090,"1,078",2.11%,-2.39%,2.86%,32.92%
GMR (Greater Metropolitan Region),Total,Inner Ring,Waverley,Total,1123,1580,3083,2346,371,-1.25%,-1.25%,-9.73%,18.15%
GMR (Greater Metropolitan Region),Total,Inner Ring,Waverley,Non Strata,2710,3560,4600,4035,103,5.95%,17.49%,-20.16%,1.98%
GMR (Greater Metropolitan Region),Total,Inner Ring,Waverley,Strata,1000,1365,1700,1697,268,10.08%,3.80%,-4.96%,25.82%
GMR (Greater Metropolitan Region),Total,Inner Ring,Woollahra,Total,1350,2195,4175,2951,306,-12.02%,4.52%,-17.96%,23.89%
GMR (Greater Metropolitan Region),Total,Inner Ring,Woollahra,Non Strata,2990,4287,5828,4594,107,8.53%,11.35%,-25.69%,3.88%
GMR (Greater Metropolitan Region),Total,Inner Ring,Woollahra,Strata,1150,1640,2490,2067,199,4.09%,13.10%,-13.10%,38.19%
GMR (Greater Metropolitan Region),Total,Middle Ring,Total,Total,670,880,1350,1218,"6,750",-1.68%,3.53%,-8.03%,34.78%
GMR (Greater Metropolitan Region),Total,Middle Ring,Total,Non Strata,1090,1445,2114,1733,"2,647",3.21%,7.04%,-19.47%,32.42%
GMR (Greater Metropolitan Region),Total,Middle Ring,Total,Strata,590,710,860,886,"4,103",0.00%,3.05%,1.26%,36.36%
GMR (Greater Metropolitan Region),Total,Middle Ring,Bayside,Total,670,800,1070,925,853,-2.44%,-2.44%,-14.53%,36.04%
GMR (Greater Metropolitan Region),Total,Middle Ring,Bayside,Non Strata,1315,1505,1715,1537,177,7.50%,7.50%,-34.69%,8.59%
GMR (Greater Metropolitan Region),Total,Middle Ring,Bayside,Strata,650,745,850,765,676,-4.49%,2.05%,-7.02%,45.69%
GMR (Greater Metropolitan Region),Total,Middle Ring,Burwood,Total,700,890,1670,1236,133,-6.32%,-3.26%,-6.34%,23.15%
GMR (Greater Metropolitan Region),Total,Middle Ring,Burwood,Non Strata,1550,1860,2500,2012,49,8.14%,23.83%,-20.97%,48.48%
GMR (Greater Metropolitan Region),Total,Middle Ring,Burwood,Strata,665,769,880,783,84,6.81%,-7.35%,5.00%,12.00%
GMR (Greater Metropolitan Region),Total,Middle Ring,Canada Bay,Total,901,1215,1958,1489,423,2.53%,-2.13%,-0.94%,39.14%
GMR (Greater Metropolitan Region),Total,Middle Ring,Canada Bay,Non Strata,1956,2430,2750,2429,126,13.02%,21.50%,-15.44%,16.67%
GMR (Greater Metropolitan Region),Total,Middle Ring,Canada Bay,Strata,825,1013,1250,1091,297,12.44%,7.71%,6.83%,51.53%
GMR (Greater Metropolitan Region),Total,Middle Ring,Canterbury-Bankstown,Total,590,865,1140,896,"1,223",-1.23%,14.57%,0.91%,48.06%
GMR (Greater Metropolitan Region),Total,Middle Ring,Canterbury-Bankstown,Non Strata,955,1100,1300,1157,665,10.00%,11.39%,-5.14%,52.87%
GMR (Greater Metropolitan Region),Total,Middle Ring,Canterbury-Bankstown,Strata,469,573,690,584,558,-1.29%,1.33%,9.20%,42.71%
GMR (Greater Metropolitan Region),Total,Middle Ring,Cumberland,Total,545,718,930,761,717,-1.64%,4.06%,-7.72%,27.35%
GMR (Greater Metropolitan Region),Total,Middle Ring,Cumberland,Non Strata,847,940,1150,1000,339,3.30%,4.44%,-15.67%,22.83%
GMR (Greater Metropolitan Region),Total,Middle Ring,Cumberland,Strata,450,550,614,547,378,-3.51%,-4.01%,0.80%,31.71%
GMR (Greater Metropolitan Region),Total,Middle Ring,Georges River,Total,682,998,1549,1983,586,-5.00%,20.18%,-5.02%,37.88%
GMR (Greater Metropolitan Region),Total,Middle Ring,Georges River,Non Strata,1273,1495,1832,1579,251,6.79%,9.93%,-17.97%,37.16%
GMR (Greater Metropolitan Region),Total,Middle Ring,Georges River,Strata,620,710,864,2285,335,5.19%,4.41%,7.72%,38.43%
GMR (Greater Metropolitan Region),Total,Middle Ring,Hunters Hill,Total,1240,2200,2930,2642,49,-8.81%,-16.29%,-27.94%,32.43%
GMR (Greater Metropolitan Region),Total,Middle Ring,Hunters Hill,Non Strata,2388,2855,3491,3735,s,-4.19%,-22.84%,-37.78%,21.74%
GMR (Greater Metropolitan Region),Total,Middle Ring,Hunters Hill,Strata,867,1100,1550,1185,s,-8.71%,29.03%,-8.70%,50.00%
GMR (Greater Metropolitan Region),Total,Middle Ring,Ku-Ring-Gai,Total,1233,2250,3000,2307,498,12.50%,28.46%,-19.81%,16.36%
GMR (Greater Metropolitan Region),Total,Middle Ring,Ku-Ring-Gai,Non Strata,2328,2783,3500,3011,312,11.30%,20.98%,-24.64%,27.35%
GMR (Greater Metropolitan Region),Total,Middle Ring,Ku-Ring-Gai,Strata,850,990,1381,1127,186,4.21%,4.21%,-10.14%,1.64%
GMR (Greater Metropolitan Region),Total,Middle Ring,Parramatta,Total,630,795,1135,917,"1,185",-0.62%,5.30%,-5.58%,42.60%
GMR (Greater Metropolitan Region),Total,Middle Ring,Parramatta,Non Strata,1175,1360,1610,1409,375,5.43%,8.76%,-19.53%,37.87%
GMR (Greater Metropolitan Region),Total,Middle Ring,Parramatta,Strata,570,690,800,689,810,1.92%,4.86%,2.66%,44.90%
GMR (Greater Metropolitan Region),Total,Middle Ring,Ryde,Total,715,930,1419,1169,611,-1.27%,9.41%,-6.57%,25.98%
GMR (Greater Metropolitan Region),Total,Middle Ring,Ryde,Non Strata,1741,1973,2439,2105,158,12.71%,12.71%,-33.61%,24.41%
GMR (Greater Metropolitan Region),Total,Middle Ring,Ryde,Strata,665,800,971,843,453,3.90%,5.68%,8.89%,26.54%
GMR (Greater Metropolitan Region),Total,Middle Ring,Strathfield,Total,600,660,780,1039,209,-9.59%,-1.64%,-21.13%,22.22%
GMR (Greater Metropolitan Region),Total,Middle Ring,Strathfield,Non Strata,1906,2873,3184,2622,42,9.64%,38.23%,-35.38%,7.69%
GMR (Greater Metropolitan Region),Total,Middle Ring,Strathfield,Strata,576,635,685,641,167,-4.87%,-2.31%,-16.50%,26.52%
GMR (Greater Metropolitan Region),Total,Middle Ring,Willoughby,Total,995,1725,2910,2055,263,-10.39%,-1.99%,-13.20%,29.56%
GMR (Greater Metropolitan Region),Total,Middle Ring,Willoughby,Non Strata,2507,2970,3700,3124,125,12.08%,13.79%,-25.60%,31.58%
GMR (Greater Metropolitan Region),Total,Middle Ring,Willoughby,Strata,864,1015,1215,1087,138,6.62%,-4.25%,2.22%,27.78%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Total,Total,499,620,775,669,"3,104",3.25%,13.35%,-13.42%,28.96%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Total,Non Strata,526,650,805,701,"2,449",3.17%,14.84%,-14.94%,26.11%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Total,Strata,419,515,640,548,655,4.89%,11.96%,-7.22%,40.86%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Cessnock,Total,358,430,540,471,314,5.52%,14.67%,-18.44%,31.38%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Cessnock,Non Strata,382,450,560,495,272,7.14%,16.88%,-23.16%,23.64%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Cessnock,Strata,291,311,358,317,42,0.32%,-2.81%,35.48%,121.05%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Lake Macquarie,Total,550,665,820,709,"1,044",4.72%,14.66%,-11.90%,32.32%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Lake Macquarie,Non Strata,582,691,854,738,882,4.66%,16.09%,-10.64%,31.84%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Lake Macquarie,Strata,455,530,629,554,162,1.92%,15.85%,-18.18%,35.00%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Maitland,Total,460,560,655,578,440,8.74%,17.65%,-4.56%,28.28%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Maitland,Non Strata,480,570,660,587,398,5.56%,14.34%,-3.40%,28.39%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Maitland,Strata,331,398,479,484,42,2.05%,2.31%,-14.29%,27.27%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Newcastle,Total,550,681,850,761,869,2.41%,13.03%,-13.88%,23.61%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Newcastle,Non Strata,620,730,914,838,574,3.55%,14.06%,-19.83%,18.35%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Newcastle,Strata,475,560,718,611,295,1.82%,9.80%,0.68%,35.32%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Port Stephens,Total,452,595,745,625,437,-4.03%,5.12%,-19.82%,31.23%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Port Stephens,Non Strata,506,650,786,674,323,-3.70%,5.31%,-21.22%,25.19%
GMR (Greater Metropolitan Region),Total,Newcastle SSD,Port Stephens,Strata,346,473,594,484,114,9.25%,15.24%,-15.56%,52.00%
GMR (Greater Metropolitan Region),Total,Outer Ring,Total,Total,660,825,1195,1013,"11,143",3.13%,10.00%,-10.27%,39.29%
GMR (Greater Metropolitan Region),Total,Outer Ring,Total,Non Strata,729,890,1310,1123,"7,746",4.22%,11.25%,-14.58%,38.94%
GMR (Greater Metropolitan Region),Total,Outer Ring,Total,Strata,530,655,865,762,"3,397",0.77%,2.34%,1.40%,40.08%
GMR (Greater Metropolitan Region),Total,Outer Ring,Blacktown,Total,626,760,940,802,"1,589",3.95%,8.57%,1.66%,57.95%
GMR (Greater Metropolitan Region),Total,Outer Ring,Blacktown,Non Strata,720,850,1003,879,"1,189",6.92%,11.84%,-1.25%,53.82%
GMR (Greater Metropolitan Region),Total,Outer Ring,Blacktown,Strata,494,570,658,572,400,3.64%,0.00%,11.42%,71.67%
GMR (Greater Metropolitan Region),Total,Outer Ring,Blue Mountains,Total,645,755,940,808,379,5.59%,13.75%,-19.53%,27.18%
GMR (Greater Metropolitan Region),Total,Outer Ring,Blue Mountains,Non Strata,650,767,950,820,358,6.54%,15.36%,-19.91%,26.50%
GMR (Greater Metropolitan Region),Total,Outer Ring,Blue Mountains,Strata,530,600,675,603,s,16.50%,26.32%,-12.50%,40.00%
GMR (Greater Metropolitan Region),Total,Outer Ring,Camden,Total,721,821,954,859,439,7.96%,13.17%,-26.96%,28.74%
GMR (Greater Metropolitan Region),Total,Outer Ring,Camden,Non Strata,740,831,970,876,414,7.92%,12.91%,-26.73%,33.55%
GMR (Greater Metropolitan Region),Total,Outer Ring,Camden,Strata,495,610,655,586,s,-8.61%,1.67%,-30.56%,-19.35%
GMR (Greater Metropolitan Region),Total,Outer Ring,Campbelltown,Total,590,675,750,667,621,7.14%,12.50%,0.98%,42.76%
GMR (Greater Metropolitan Region),Total,Outer Ring,Campbelltown,Non Strata,645,700,770,714,498,7.69%,11.11%,-2.73%,45.61%
GMR (Greater Metropolitan Region),Total,Outer Ring,Campbelltown,Strata,423,465,533,474,123,4.97%,4.03%,19.42%,32.26%
GMR (Greater Metropolitan Region),Total,Outer Ring,Central Coast,Total,600,740,940,828,"2,000",5.75%,15.66%,-8.34%,50.83%
GMR (Greater Metropolitan Region),Total,Outer Ring,Central Coast,Non Strata,655,796,1050,901,"1,513",8.30%,19.70%,-11.73%,47.18%
GMR (Greater Metropolitan Region),Total,Outer Ring,Central Coast,Strata,455,555,710,602,487,-1.33%,9.68%,4.06%,63.42%
GMR (Greater Metropolitan Region),Total,Outer Ring,Fairfield,Total,650,803,901,787,416,4.22%,10.13%,-21.36%,38.67%
GMR (Greater Metropolitan Region),Total,Outer Ring,Fairfield,Non Strata,765,855,935,881,315,4.27%,10.75%,-20.85%,37.55%
GMR (Greater Metropolitan Region),Total,Outer Ring,Fairfield,Strata,415,470,561,494,101,7.80%,14.77%,-22.90%,42.25%
GMR (Greater Metropolitan Region),Total,Outer Ring,Hawkesbury,Total,673,778,1020,894,282,-0.32%,13.50%,-13.50%,38.92%
GMR (Greater Metropolitan Region),Total,Outer Ring,Hawkesbury,Non Strata,700,796,1085,922,260,-9.52%,10.59%,-9.09%,61.49%
GMR (Greater Metropolitan Region),Total,Outer Ring,Hawkesbury,Strata,540,573,631,563,s,13.37%,11.17%,-45.00%,-47.62%
GMR (Greater Metropolitan Region),Total,Outer Ring,Hornsby,Total,740,1280,1700,1293,588,1.39%,22.82%,-2.00%,33.64%
GMR (Greater Metropolitan Region),Total,Outer Ring,Hornsby,Non Strata,1371,1630,1908,1672,340,12.41%,16.43%,-16.67%,36.55%
GMR (Greater Metropolitan Region),Total,Outer Ring,Hornsby,Strata,629,701,861,774,248,1.26%,3.01%,29.17%,29.84%
GMR (Greater Metropolitan Region),Total,Outer Ring,Liverpool,Total,590,745,889,747,641,4.20%,9.56%,-15.66%,38.15%
GMR (Greater Metropolitan Region),Total,Outer Ring,Liverpool,Non Strata,733,830,950,849,443,4.40%,6.41%,-18.86%,38.01%
GMR (Greater Metropolitan Region),Total,Outer Ring,Liverpool,Strata,440,520,600,520,198,1.96%,1.96%,-7.48%,38.46%
GMR (Greater Metropolitan Region),Total,Outer Ring,Northern Beaches,Total,1065,1815,2400,1924,"1,087",7.40%,17.10%,-21.17%,15.03%
GMR (Greater Metropolitan Region),Total,Outer Ring,Northern Beaches,Non Strata,2000,2350,3004,2616,546,11.90%,21.76%,-27.39%,13.51%
GMR (Greater Metropolitan Region),Total,Outer Ring,Northern Beaches,Strata,858,1060,1490,1226,541,9.05%,9.56%,-13.72%,16.59%
GMR (Greater Metropolitan Region),Total,Outer Ring,Penrith,Total,552,696,810,693,945,4.66%,8.75%,2.27%,36.56%
GMR (Greater Metropolitan Region),Total,Outer Ring,Penrith,Non Strata,717,780,863,810,576,7.07%,9.86%,-5.88%,32.11%
GMR (Greater Metropolitan Region),Total,Outer Ring,Penrith,Strata,438,522,580,510,369,0.77%,4.71%,18.27%,44.14%
GMR (Greater Metropolitan Region),Total,Outer Ring,Sutherland Shire,Total,786,1130,1503,1203,"1,166",2.26%,12.44%,-9.05%,38.64%
GMR (Greater Metropolitan Region),Total,Outer Ring,Sutherland Shire,Non Strata,1236,1465,1760,1563,511,9.74%,12.69%,-22.69%,25.86%
GMR (Greater Metropolitan Region),Total,Outer Ring,Sutherland Shire,Strata,681,813,1043,921,655,1.63%,9.13%,5.48%,50.57%
GMR (Greater Metropolitan Region),Total,Outer Ring,The Hills Shire,Total,999,1350,1760,1411,788,11.11%,14.41%,-16.79%,39.47%
GMR (Greater Metropolitan Region),Total,Outer Ring,The Hills Shire,Non Strata,1270,1500,1870,1602,590,13.55%,15.38%,-19.40%,39.81%
GMR (Greater Metropolitan Region),Total,Outer Ring,The Hills Shire,Strata,697,819,979,841,198,-1.95%,2.99%,-7.91%,38.46%
GMR (Greater Metropolitan Region),Total,Outer Ring,Wollondilly,Total,661,813,1129,900,202,8.40%,8.94%,-15.48%,40.28%
GMR (Greater Metropolitan Region),Total,Outer Ring,Wollondilly,Non Strata,685,830,1180,922,193,8.50%,7.93%,-16.45%,44.03%
GMR (Greater Metropolitan Region),Total,Outer Ring,Wollondilly,Strata,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Total,Wollongong SSD,Total,Total,592,721,930,807,"1,352",1.48%,7.54%,-11.23%,28.27%
GMR (Greater Metropolitan Region),Total,Wollongong SSD,Total,Non Strata,679,840,1050,919,849,5.00%,16.67%,-14.07%,17.27%
GMR (Greater Metropolitan Region),Total,Wollongong SSD,Total,Strata,500,590,705,618,503,1.37%,3.06%,-5.98%,52.42%
GMR (Greater Metropolitan Region),Total,Wollongong SSD,Kiama,Total,872,1050,1451,1202,104,9.20%,20.00%,-31.58%,40.54%
GMR (Greater Metropolitan Region),Total,Wollongong SSD,Kiama,Non Strata,985,1300,1655,1368,77,23.34%,43.65%,-28.70%,37.50%
GMR (Greater Metropolitan Region),Total,Wollongong SSD,Kiama,Strata,695,760,861,728,s,10.14%,13.94%,-38.64%,50.00%
GMR (Greater Metropolitan Region),Total,Wollongong SSD,Shellharbour,Total,590,681,821,725,348,8.88%,11.56%,-3.33%,13.73%
GMR (Greater Metropolitan Region),Total,Wollongong SSD,Shellharbour,Non Strata,641,725,875,777,258,9.02%,12.40%,-5.49%,9.79%
GMR (Greater Metropolitan Region),Total,Wollongong SSD,Shellharbour,Strata,508,565,623,575,90,4.63%,10.24%,3.45%,26.76%
GMR (Greater Metropolitan Region),Total,Wollongong SSD,Wollongong,Total,577,720,922,793,900,0.00%,5.11%,-10.98%,33.53%
GMR (Greater Metropolitan Region),Total,Wollongong SSD,Wollongong,Non Strata,690,853,1092,923,514,2.80%,13.77%,-15.32%,18.71%
GMR (Greater Metropolitan Region),Total,Wollongong SSD,Wollongong,Strata,499,600,716,620,386,0.42%,2.56%,-4.46%,60.17%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Total,Total,685,886,1370,1199,"21,940",0.69%,4.24%,-9.48%,35.55%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Total,Non Strata,800,1110,1742,1436,"11,614",2.78%,11.45%,-16.22%,36.30%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Total,Strata,600,750,980,932,"10,326",0.00%,1.97%,-0.47%,34.72%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Bayside,Total,670,800,1070,925,853,-2.44%,-2.44%,-14.53%,36.04%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Bayside,Non Strata,1315,1505,1715,1537,177,7.50%,7.50%,-34.69%,8.59%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Bayside,Strata,650,745,850,765,676,-4.49%,2.05%,-7.02%,45.69%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Blacktown,Total,626,760,940,802,"1,589",3.95%,8.57%,1.66%,57.95%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Blacktown,Non Strata,720,850,1003,879,"1,189",6.92%,11.84%,-1.25%,53.82%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Blacktown,Strata,494,570,658,572,400,3.64%,0.00%,11.42%,71.67%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Blue Mountains,Total,645,755,940,808,379,5.59%,13.75%,-19.53%,27.18%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Blue Mountains,Non Strata,650,767,950,820,358,6.54%,15.36%,-19.91%,26.50%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Blue Mountains,Strata,530,600,675,603,s,16.50%,26.32%,-12.50%,40.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Burwood,Total,700,890,1670,1236,133,-6.32%,-3.26%,-6.34%,23.15%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Burwood,Non Strata,1550,1860,2500,2012,49,8.14%,23.83%,-20.97%,48.48%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Burwood,Strata,665,769,880,783,84,6.81%,-7.35%,5.00%,12.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Camden,Total,721,821,954,859,439,7.96%,13.17%,-26.96%,28.74%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Camden,Non Strata,740,831,970,876,414,7.92%,12.91%,-26.73%,33.55%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Camden,Strata,495,610,655,586,s,-8.61%,1.67%,-30.56%,-19.35%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Campbelltown,Total,590,675,750,667,621,7.14%,12.50%,0.98%,42.76%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Campbelltown,Non Strata,645,700,770,714,498,7.69%,11.11%,-2.73%,45.61%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Campbelltown,Strata,423,465,533,474,123,4.97%,4.03%,19.42%,32.26%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Canada Bay,Total,901,1215,1958,1489,423,2.53%,-2.13%,-0.94%,39.14%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Canada Bay,Non Strata,1956,2430,2750,2429,126,13.02%,21.50%,-15.44%,16.67%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Canada Bay,Strata,825,1013,1250,1091,297,12.44%,7.71%,6.83%,51.53%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Canterbury-Bankstown,Total,590,865,1140,896,"1,223",-1.23%,14.57%,0.91%,48.06%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Canterbury-Bankstown,Non Strata,955,1100,1300,1157,665,10.00%,11.39%,-5.14%,52.87%
