Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
Total,Total,Total,Georges River,Total,682,998,1549,1983,586,-5.00%,20.18%,-5.02%,37.88%
Total,Total,Total,Georges River,Non Strata,1273,1495,1832,1579,251,6.79%,9.93%,-17.97%,37.16%
Total,Total,Total,Georges River,Strata,620,710,864,2285,335,5.19%,4.41%,7.72%,38.43%
Total,Total,Total,Gilgandra,Total,150,187,248,191,s,38.33%,3.75%,12.50%,500.00%
Total,Total,Total,Gilgandra,Non Strata,150,187,248,191,s,38.33%,3.75%,12.50%,500.00%
Total,Total,Total,Glen Innes Severn,Total,180,250,326,269,52,4.17%,28.21%,-8.77%,57.58%
Total,Total,Total,Glen Innes Severn,Non Strata,180,250,326,269,52,4.17%,28.21%,-8.77%,57.58%
Total,Total,Total,Goulburn Mulwaree,Total,400,498,626,537,212,3.75%,19.88%,19.10%,94.50%
Total,Total,Total,Goulburn Mulwaree,Non Strata,405,500,625,537,193,3.09%,18.06%,18.40%,101.04%
Total,Total,Total,Goulburn Mulwaree,Strata,326,449,900,536,s,36.06%,20.70%,26.67%,46.15%
Total,Total,Total,Greater Hume Shire,Total,173,287,407,308,54,3.33%,23.33%,0.00%,35.00%
Total,Total,Total,Greater Hume Shire,Non Strata,173,287,407,308,54,3.33%,23.33%,0.00%,35.00%
Total,Total,Total,Griffith,Total,325,430,503,426,75,4.88%,20.79%,-7.41%,13.64%
Total,Total,Total,Griffith,Non Strata,325,439,517,431,70,4.84%,22.38%,-7.89%,9.38%
Total,Total,Total,Griffith,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Gunnedah,Total,215,300,385,311,61,-24.05%,-7.98%,3.39%,22.00%
Total,Total,Total,Gunnedah,Non Strata,215,300,390,313,57,-24.05%,-7.98%,-3.39%,14.00%
Total,Total,Total,Gunnedah,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Gwydir,Total,125,169,223,176,s,-26.52%,-14.43%,26.32%,140.00%
Total,Total,Total,Gwydir,Non Strata,125,169,223,176,s,-26.52%,-14.43%,26.32%,140.00%
Total,Total,Total,Hawkesbury,Total,673,778,1020,894,282,-0.32%,13.50%,-13.50%,38.92%
Total,Total,Total,Hawkesbury,Non Strata,700,796,1085,922,260,-9.52%,10.59%,-9.09%,61.49%
Total,Total,Total,Hawkesbury,Strata,540,573,631,563,s,13.37%,11.17%,-45.00%,-47.62%
Total,Total,Total,Hay,Total,130,172,220,179,s,27.41%,14.67%,54.55%,466.67%
Total,Total,Total,Hay,Non Strata,130,172,220,179,s,27.41%,14.67%,54.55%,466.67%
Total,Total,Total,Hilltops,Total,230,304,392,331,115,-1.62%,12.59%,-14.18%,88.52%
Total,Total,Total,Hilltops,Non Strata,236,310,398,335,110,-2.97%,14.81%,-12.70%,80.33%
Total,Total,Total,Hilltops,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Hornsby,Total,740,1280,1700,1293,588,1.39%,22.82%,-2.00%,33.64%
Total,Total,Total,Hornsby,Non Strata,1371,1630,1908,1672,340,12.41%,16.43%,-16.67%,36.55%
Total,Total,Total,Hornsby,Strata,629,701,861,774,248,1.26%,3.01%,29.17%,29.84%
Total,Total,Total,Hunters Hill,Total,1240,2200,2930,2642,49,-8.81%,-16.29%,-27.94%,32.43%
Total,Total,Total,Hunters Hill,Non Strata,2388,2855,3491,3735,s,-4.19%,-22.84%,-37.78%,21.74%
