Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
GMR (Greater Metropolitan Region),Greater Sydney,Total,Central Coast,Flat/Unit,4 or more Bedrooms,515,575,790,s,60,4.55%,-15.44%,120.00%,120.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Total,Total,350,410,490,"2,446","25,725",-2.38%,-6.82%,-9.64%,8.57%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Total,Bedsitter,244,280,300,s,134,1.82%,7.69%,45.45%,33.33%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Total,1 Bedroom,262,320,360,245,"1,975",-8.57%,-3.76%,-4.67%,-1.21%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Total,Not Specified,370,420,498,102,"1,522",5.00%,-6.67%,-26.09%,10.87%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Total,2 Bedrooms,340,388,430,"1,358","12,315",-3.12%,-3.12%,-8.98%,19.75%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Total,3 Bedrooms,450,500,550,522,"6,934",0.00%,0.00%,-8.42%,1.75%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Total,4 or more Bedrooms,600,670,720,203,"2,845",4.69%,6.35%,-15.06%,-20.08%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,House,Total,420,480,580,569,"7,258",-4.00%,0.00%,-2.23%,1.25%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,House,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,House,1 Bedroom,200,250,300,s,137,-13.79%,-7.41%,18.18%,-55.17%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,House,Not Specified,-,-,-,-,283,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,House,2 Bedrooms,360,405,450,148,"1,201",1.25%,1.76%,9.63%,21.31%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,House,3 Bedrooms,440,480,536,256,"3,714",-4.00%,-2.04%,-4.12%,8.94%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,House,4 or more Bedrooms,580,650,720,145,"1,918",3.17%,4.84%,-5.84%,-11.04%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Other,Total,330,390,500,246,"3,054",-2.50%,-3.70%,-5.02%,20.59%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Other,Bedsitter,-,-,-,-,70,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Other,1 Bedroom,215,270,300,31,300,-15.62%,-3.57%,34.78%,47.62%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Other,Not Specified,378,430,501,60,731,7.50%,0.00%,-18.92%,50.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Other,2 Bedrooms,330,370,400,96,"1,052",-5.13%,-2.63%,3.23%,24.68%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Other,3 Bedrooms,429,500,530,34,624,0.00%,-3.85%,-22.73%,-5.56%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Other,4 or more Bedrooms,630,700,720,s,277,9.38%,15.70%,27.78%,-4.17%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Townhouse,Total,430,490,580,191,"2,642",-7.55%,-5.77%,-21.40%,-22.67%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Townhouse,1 Bedroom,-,-,-,-,49,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Townhouse,Not Specified,-,-,-,-,95,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Townhouse,2 Bedrooms,373,420,450,66,668,0.00%,5.00%,6.45%,13.79%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Townhouse,3 Bedrooms,483,523,580,90,"1,249",-0.95%,2.45%,-19.64%,-22.41%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Townhouse,4 or more Bedrooms,635,680,729,s,577,4.62%,4.62%,-52.54%,-55.56%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Flat/Unit,Total,330,380,440,"1,440","12,771",-5.00%,-5.00%,-11.28%,16.13%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Flat/Unit,Bedsitter,280,300,300,s,55,0.00%,0.00%,333.33%,116.67%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Flat/Unit,1 Bedroom,271,340,380,198,"1,489",-2.86%,-2.86%,-9.17%,0.51%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Flat/Unit,Not Specified,330,400,463,32,413,8.11%,-4.76%,-28.89%,6.67%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Flat/Unit,2 Bedrooms,330,380,430,"1,048","9,394",-5.00%,-7.32%,-12.81%,19.50%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Flat/Unit,3 Bedrooms,460,500,550,142,"1,347",-1.96%,-1.96%,-3.40%,12.70%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Cumberland,Flat/Unit,4 or more Bedrooms,-,-,-,-,73,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Total,Total,320,400,500,"1,143","16,632",-4.76%,-2.44%,11.30%,-0.35%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Total,Bedsitter,-,-,-,-,35,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Total,1 Bedroom,220,260,300,96,"1,128",0.00%,4.00%,4.35%,1.05%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Total,Not Specified,280,350,471,60,952,-12.50%,-16.17%,20.00%,-16.67%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Total,2 Bedrooms,300,340,400,468,"5,538",-2.86%,-2.86%,29.28%,13.59%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Total,3 Bedrooms,420,480,520,344,"6,333",4.35%,6.67%,-6.52%,-8.02%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Total,4 or more Bedrooms,520,600,680,173,"2,646",-1.64%,5.26%,14.57%,-9.42%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,House,Total,410,490,550,471,"7,269",2.08%,8.89%,9.79%,-6.92%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,House,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,House,1 Bedroom,230,245,295,s,79,-1.01%,-10.91%,40.00%,16.67%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,House,Not Specified,385,473,495,s,251,7.39%,-16.37%,55.56%,0.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,House,2 Bedrooms,320,365,390,73,704,-6.41%,-1.35%,28.07%,2.82%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,House,3 Bedrooms,430,490,525,231,"4,103",5.38%,8.89%,-1.70%,-9.41%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,House,4 or more Bedrooms,525,610,690,139,"2,127",1.67%,8.93%,18.80%,-9.74%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Other,Total,300,380,430,199,"2,905",0.00%,0.00%,2.05%,0.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Other,Bedsitter,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Other,1 Bedroom,188,245,281,32,357,11.36%,-2.00%,10.34%,-11.11%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Other,Not Specified,265,340,420,s,486,-15.00%,-24.44%,-13.33%,-25.71%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Other,2 Bedrooms,310,370,400,78,"1,019",2.78%,5.71%,-6.02%,8.33%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Other,3 Bedrooms,403,450,498,46,771,0.00%,-0.55%,9.52%,15.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Other,4 or more Bedrooms,500,520,580,s,261,-20.00%,-13.33%,54.55%,13.33%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Townhouse,Total,390,450,550,93,"1,695",-2.17%,0.00%,-5.10%,-6.06%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Townhouse,1 Bedroom,-,-,-,-,37,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Townhouse,Not Specified,-,-,-,-,45,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Townhouse,2 Bedrooms,330,370,410,s,378,2.78%,0.00%,42.11%,-12.90%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Townhouse,3 Bedrooms,420,450,500,48,"1,006",-2.17%,-1.10%,-18.64%,14.29%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Townhouse,4 or more Bedrooms,590,625,675,s,228,-3.85%,-3.85%,-22.22%,-30.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Flat/Unit,Total,280,320,393,380,"4,763",-3.03%,-3.03%,24.59%,10.79%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Flat/Unit,1 Bedroom,250,265,350,49,655,-5.36%,1.92%,-5.77%,11.36%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Flat/Unit,Not Specified,280,300,330,s,170,-7.69%,3.45%,70.00%,-15.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Flat/Unit,2 Bedrooms,280,320,400,290,"3,437",-3.03%,-3.03%,42.86%,21.85%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Flat/Unit,3 Bedrooms,320,430,495,s,453,-4.44%,7.50%,-40.62%,-48.65%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Fairfield,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Total,Total,380,450,540,"1,640","15,596",0.00%,-6.25%,-0.06%,19.80%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Total,Bedsitter,310,320,350,s,99,0.00%,14.29%,-44.44%,114.29%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Total,1 Bedroom,295,363,410,216,"1,659",-4.61%,-9.37%,-1.82%,14.89%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Total,Not Specified,350,440,515,s,794,-12.00%,3.53%,-31.58%,18.18%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Total,2 Bedrooms,370,420,490,928,"7,956",-2.33%,-6.67%,-0.22%,26.95%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Total,3 Bedrooms,500,560,630,356,"3,817",1.82%,0.00%,10.22%,16.72%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Total,4 or more Bedrooms,690,785,1000,112,"1,271",4.32%,4.67%,-8.20%,-11.81%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,House,Total,495,600,720,295,"3,483",1.69%,4.35%,-4.53%,-6.65%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,House,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,House,1 Bedroom,-,-,-,-,59,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,House,Not Specified,-,-,-,-,89,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,House,2 Bedrooms,401,450,500,78,651,-2.17%,-4.26%,16.42%,27.87%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,House,3 Bedrooms,540,600,650,120,"1,694",4.35%,4.35%,-12.41%,-17.24%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,House,4 or more Bedrooms,682,780,1000,87,983,3.65%,4.00%,-13.00%,-9.37%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Other,Total,350,455,600,62,"1,374",14.47%,-1.09%,-13.89%,8.77%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Other,Bedsitter,-,-,-,-,47,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Other,1 Bedroom,225,270,290,s,131,-12.90%,-10.00%,-23.53%,30.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Other,Not Specified,-,-,-,-,501,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Other,2 Bedrooms,380,430,510,s,405,0.00%,-5.49%,4.55%,-4.17%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Other,3 Bedrooms,540,570,633,s,229,3.64%,-2.98%,57.14%,-8.33%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Other,4 or more Bedrooms,-,-,-,-,61,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Townhouse,Total,520,600,688,75,950,9.09%,7.62%,-14.77%,25.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Townhouse,Not Specified,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Townhouse,2 Bedrooms,408,478,553,s,252,3.80%,-6.37%,-40.74%,-27.27%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Townhouse,3 Bedrooms,565,620,670,43,485,6.90%,8.77%,4.88%,79.17%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Townhouse,4 or more Bedrooms,750,830,950,s,164,10.67%,9.21%,-23.53%,-7.14%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Flat/Unit,Total,360,420,500,"1,208","9,789",-2.33%,-6.67%,3.07%,29.06%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Flat/Unit,Bedsitter,320,330,350,s,45,10.00%,22.22%,0.00%,83.33%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Flat/Unit,1 Bedroom,300,380,410,193,"1,442",-2.56%,-5.00%,-1.53%,16.27%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Flat/Unit,Not Specified,-,-,-,-,182,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Flat/Unit,2 Bedrooms,360,420,483,811,"6,648",0.00%,-6.67%,-0.37%,29.97%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Flat/Unit,3 Bedrooms,480,530,588,182,"1,409",1.92%,-3.64%,31.88%,46.77%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Georges River,Flat/Unit,4 or more Bedrooms,-,-,-,-,63,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Total,Total,375,450,550,368,"4,530",0.00%,9.76%,3.37%,-15.40%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Total,Bedsitter,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Total,1 Bedroom,250,275,300,s,285,-1.26%,10.00%,-29.41%,-17.24%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Total,Not Specified,-,-,-,-,197,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Total,2 Bedrooms,330,360,390,93,950,0.00%,5.88%,6.90%,0.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Total,3 Bedrooms,420,458,500,154,"2,149",1.67%,8.93%,-3.14%,-30.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Total,4 or more Bedrooms,550,625,700,87,935,5.04%,11.11%,22.54%,-3.33%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,House,Total,420,478,564,246,"2,883",0.53%,6.11%,6.49%,-13.68%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,House,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,House,1 Bedroom,-,-,-,-,40,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,House,Not Specified,-,-,-,-,84,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,House,2 Bedrooms,335,375,408,35,305,1.35%,5.63%,12.90%,2.94%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,House,3 Bedrooms,423,460,520,123,"1,599",0.00%,9.52%,-4.65%,-26.79%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,House,4 or more Bedrooms,550,650,700,77,849,8.79%,14.04%,20.31%,-4.94%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Other,Total,250,365,530,s,402,0.00%,16.80%,-15.00%,21.43%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Other,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Other,1 Bedroom,-,-,-,-,78,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Other,Not Specified,-,-,-,-,77,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Other,2 Bedrooms,-,-,-,-,80,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Other,3 Bedrooms,-,-,-,-,127,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Other,4 or more Bedrooms,-,-,-,-,32,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Townhouse,Total,398,425,471,40,546,-2.30%,3.66%,2.56%,-37.50%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Townhouse,Not Specified,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Townhouse,2 Bedrooms,-,-,-,-,152,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Townhouse,3 Bedrooms,403,438,460,s,332,-2.78%,6.06%,4.76%,-52.17%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Townhouse,4 or more Bedrooms,-,-,-,-,47,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Flat/Unit,Total,290,340,375,65,699,1.49%,7.94%,-1.52%,-9.72%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Flat/Unit,1 Bedroom,258,275,290,s,164,-1.79%,5.77%,-42.86%,-47.83%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Flat/Unit,2 Bedrooms,320,360,378,43,413,1.41%,9.09%,7.50%,0.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Flat/Unit,3 Bedrooms,-,-,-,-,91,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hawkesbury,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Total,Total,400,480,650,"1,056","10,793",1.05%,-4.00%,-5.38%,17.20%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Total,Bedsitter,-,-,-,-,69,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Total,1 Bedroom,330,370,400,169,"1,405",-2.63%,-5.13%,-17.56%,2.42%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Total,Not Specified,373,400,500,31,711,-10.11%,-6.98%,-29.55%,6.90%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Total,2 Bedrooms,410,450,490,463,"4,224",0.00%,-2.17%,-3.74%,34.99%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Total,3 Bedrooms,575,640,700,225,"2,456",1.59%,6.67%,10.84%,18.42%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Total,4 or more Bedrooms,740,830,950,161,"1,928",3.75%,10.67%,-6.94%,-7.47%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,House,Total,580,700,850,334,"3,796",2.94%,7.69%,0.60%,3.41%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,House,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,House,1 Bedroom,240,335,356,s,95,-6.29%,-8.22%,-25.00%,20.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,House,Not Specified,-,-,-,-,132,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,House,2 Bedrooms,420,453,500,34,364,-8.59%,-1.63%,-20.93%,21.43%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,House,3 Bedrooms,580,645,713,132,"1,429",0.78%,8.40%,24.53%,9.09%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,House,4 or more Bedrooms,750,850,950,149,"1,767",6.25%,13.33%,-8.59%,-8.02%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Other,Total,368,435,666,s,818,3.57%,-12.12%,-46.67%,-58.97%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Other,Bedsitter,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Other,1 Bedroom,-,-,-,-,77,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Other,Not Specified,-,-,-,-,370,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Other,2 Bedrooms,-,-,-,-,187,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Other,3 Bedrooms,-,-,-,-,112,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Other,4 or more Bedrooms,-,-,-,-,55,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Townhouse,Total,500,610,668,70,796,-2.79%,4.27%,2.94%,11.11%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Townhouse,Not Specified,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Townhouse,2 Bedrooms,450,480,500,s,163,6.67%,-2.04%,15.38%,0.00%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Townhouse,3 Bedrooms,590,650,696,42,501,1.56%,6.56%,-10.64%,13.51%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Townhouse,4 or more Bedrooms,-,-,-,-,87,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Flat/Unit,Total,385,430,490,636,"5,383",0.00%,-2.27%,-7.29%,33.61%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Flat/Unit,Bedsitter,-,-,-,-,42,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Flat/Unit,1 Bedroom,330,370,400,153,"1,213",-2.63%,-7.50%,-16.85%,2.68%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Flat/Unit,Not Specified,370,400,485,s,185,-2.44%,-2.44%,-25.93%,66.67%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Flat/Unit,2 Bedrooms,403,450,490,407,"3,510",0.00%,-2.17%,-2.63%,42.31%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Flat/Unit,3 Bedrooms,546,598,650,48,414,3.02%,1.27%,0.00%,84.62%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hornsby,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Total,Total,440,595,910,77,919,-7.75%,-5.56%,-12.50%,-7.23%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Total,Bedsitter,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Total,1 Bedroom,400,440,500,s,146,3.53%,4.76%,18.18%,-23.53%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Total,Not Specified,-,-,-,-,34,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Total,2 Bedrooms,423,533,603,s,347,-3.18%,-3.18%,-14.29%,-9.09%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Total,3 Bedrooms,725,910,1035,s,249,26.39%,21.33%,-9.52%,26.67%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Total,4 or more Bedrooms,1500,2000,2325,s,128,48.15%,42.86%,-42.11%,-26.67%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,House,Total,850,1035,1700,s,257,-7.59%,22.49%,-39.39%,-25.93%
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,House,1 Bedroom,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,House,Not Specified,-,-,-,-,-,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,House,3 Bedrooms,-,-,-,-,122,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,House,4 or more Bedrooms,-,-,-,-,101,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Other,Total,-,-,-,-,47,-,-,-,-
GMR (Greater Metropolitan Region),Greater Sydney,Total,Hunters Hill,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
