Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
Total,Total,Total,Armidale Regional,Other,Total,200,280,370,s,200,40.00%,40.00%,70.00%,112.50%
Total,Total,Total,Armidale Regional,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Armidale Regional,Other,1 Bedroom,-,-,-,-,53,-,-,-,-
Total,Total,Total,Armidale Regional,Other,Not Specified,-,-,-,-,71,-,-,-,-
Total,Total,Total,Armidale Regional,Other,2 Bedrooms,-,-,-,-,44,-,-,-,-
Total,Total,Total,Armidale Regional,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Armidale Regional,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Armidale Regional,Townhouse,Total,-,-,-,-,65,-,-,-,-
Total,Total,Total,Armidale Regional,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Armidale Regional,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Armidale Regional,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Armidale Regional,Townhouse,3 Bedrooms,-,-,-,-,33,-,-,-,-
Total,Total,Total,Armidale Regional,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Armidale Regional,Flat/Unit,Total,230,260,314,114,"1,255",0.00%,0.97%,-19.72%,35.71%
Total,Total,Total,Armidale Regional,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Armidale Regional,Flat/Unit,1 Bedroom,168,190,220,s,261,-5.00%,0.00%,-23.33%,21.05%
Total,Total,Total,Armidale Regional,Flat/Unit,Not Specified,-,-,-,-,43,-,-,-,-
Total,Total,Total,Armidale Regional,Flat/Unit,2 Bedrooms,250,260,290,65,780,0.00%,0.00%,-25.29%,30.00%
Total,Total,Total,Armidale Regional,Flat/Unit,3 Bedrooms,315,350,375,s,157,6.06%,1.45%,-9.52%,58.33%
Total,Total,Total,Armidale Regional,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Ballina,Total,Total,450,580,680,305,"3,861",5.45%,23.40%,-2.24%,-21.59%
Total,Total,Total,Ballina,Total,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Ballina,Total,1 Bedroom,283,350,395,s,250,-5.41%,25.00%,-28.00%,-37.93%
Total,Total,Total,Ballina,Total,Not Specified,-,-,-,-,157,-,-,-,-
Total,Total,Total,Ballina,Total,2 Bedrooms,395,450,518,95,"1,221",7.14%,17.65%,9.20%,-18.10%
Total,Total,Total,Ballina,Total,3 Bedrooms,550,600,680,115,"1,571",0.00%,20.00%,-16.67%,-35.75%
Total,Total,Total,Ballina,Total,4 or more Bedrooms,650,700,800,74,655,1.45%,17.65%,29.82%,23.33%
Total,Total,Total,Ballina,House,Total,555,650,750,171,"1,759",4.84%,25.00%,7.55%,-1.72%
Total,Total,Total,Ballina,House,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Ballina,House,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Ballina,House,Not Specified,-,-,-,-,41,-,-,-,-
Total,Total,Total,Ballina,House,2 Bedrooms,470,508,550,s,187,18.02%,16.67%,-10.00%,28.57%
Total,Total,Total,Ballina,House,3 Bedrooms,550,600,690,79,919,0.00%,20.00%,-5.95%,-24.04%
Total,Total,Total,Ballina,House,4 or more Bedrooms,650,700,800,70,590,2.19%,17.15%,40.00%,29.63%
Total,Total,Total,Ballina,Other,Total,385,480,600,s,402,6.67%,23.87%,42.86%,0.00%
Total,Total,Total,Ballina,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Ballina,Other,1 Bedroom,-,-,-,-,79,-,-,-,-
Total,Total,Total,Ballina,Other,Not Specified,-,-,-,-,65,-,-,-,-
Total,Total,Total,Ballina,Other,2 Bedrooms,420,450,480,s,128,10.43%,12.50%,37.50%,10.00%
Total,Total,Total,Ballina,Other,3 Bedrooms,-,-,-,-,110,-,-,-,-
Total,Total,Total,Ballina,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Ballina,Townhouse,Total,480,580,680,s,462,2.65%,16.00%,-17.65%,-55.56%
Total,Total,Total,Ballina,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Ballina,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Ballina,Townhouse,2 Bedrooms,458,540,688,s,151,8.00%,28.57%,75.00%,-26.32%
Total,Total,Total,Ballina,Townhouse,3 Bedrooms,520,580,665,s,268,0.00%,12.62%,-40.91%,-67.50%
Total,Total,Total,Ballina,Townhouse,4 or more Bedrooms,-,-,-,-,32,-,-,-,-
Total,Total,Total,Ballina,Flat/Unit,Total,380,420,485,76,"1,238",-2.33%,10.53%,-22.45%,-37.70%
Total,Total,Total,Ballina,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Ballina,Flat/Unit,1 Bedroom,-,-,-,-,146,-,-,-,-
Total,Total,Total,Ballina,Flat/Unit,Not Specified,-,-,-,-,45,-,-,-,-
Total,Total,Total,Ballina,Flat/Unit,2 Bedrooms,380,400,450,52,755,-2.44%,11.11%,1.96%,-28.77%
Total,Total,Total,Ballina,Flat/Unit,3 Bedrooms,458,540,550,s,274,-3.57%,20.00%,-41.67%,-51.72%
Total,Total,Total,Ballina,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Balranald,Total,Total,-,-,-,-,109,-,-,-,-
Total,Total,Total,Balranald,Total,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Balranald,Total,Not Specified,-,-,-,-,-,-,-,-,-
