,,,,,,,Percentile ratos,,,,,Income share,,,,,,
,,Earners,Median age of earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Top 1%,Top 5%,Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
LGA,LGA NAME,(persons),years,$,$,$,ratio,ratio,ratio,ratio,coef.,%,%,%,%,%,%,%
32770,Doomadgee,413,37,"1,58,82,767","28,909","38,457",7.81,2.31,0.30,0.17,0.475,np,16.3,29.0,43.5,26.1,18.1,12.3
32810,Douglas,"7,613",45,"36,11,54,136","40,379","47,439",4.21,1.73,0.41,0.20,0.438,6.3,18.4,29.5,28.5,33.8,24.0,13.7
33100,Etheridge,467,47,"2,11,55,080","38,008","45,300",6.70,2.01,0.30,0.02,0.668,np,25.3,37.6,35.5,24.0,24.4,16.1
33200,Flinders,965,45,"4,28,16,435","40,507","44,369",6.08,1.98,0.33,0.05,0.725,7.4,23.5,37.0,29.7,30.5,21.6,18.2
33220,Fraser Coast,"46,702",48,"2,25,61,50,672","40,059","48,310",5.93,1.88,0.32,0.10,0.472,6.9,19.2,30.5,31.6,29.0,23.5,16.0
33360,Gladstone,"32,885",43,"2,28,24,89,559","55,063","69,408",6.51,2.06,0.32,0.12,0.473,5.3,17.6,29.3,25.1,21.3,19.9,33.8
33430,Gold Coast,"3,52,667",42,"20,50,53,36,567","45,513","58,144",4.66,1.86,0.40,0.18,0.471,9.3,22.0,32.9,26.1,28.5,24.9,20.5
33610,Goondiwindi,"6,343",43,"32,10,60,685","44,406","50,617",4.48,1.75,0.39,0.15,0.493,7.8,19.9,30.7,27.9,27.8,27.4,16.9
33620,Gympie,"24,510",47,"1,10,37,19,176","37,443","45,031",6.41,1.93,0.30,0.08,0.489,6.1,18.8,30.6,33.9,29.7,21.8,14.6
33800,Hinchinbrook,"6,017",50,"32,52,69,805","47,273","54,058",4.74,1.79,0.38,0.14,0.429,5.3,16.5,27.0,25.2,27.6,26.3,21.0
33830,Hope Vale,339,38,"1,43,75,825","34,687","42,407",6.63,1.99,0.30,0.13,0.450,np,14.9,27.3,33.7,33.1,19.8,13.3
33960,Ipswich,"1,09,295",39,"6,12,61,04,603","51,038","56,051",3.86,1.64,0.42,0.20,0.391,4.9,15.4,25.5,21.7,26.8,31.4,20.1
33980,Isaac,"10,930",38,"92,48,77,978","70,645","84,618",6.06,2.07,0.34,0.15,0.448,4.8,15.3,26.1,19.7,17.9,19.0,43.4
34420,Kowanyama,356,40,"1,23,16,372","24,354","34,597",6.92,2.17,0.31,0.18,0.488,np,18.1,31.5,48.2,29.0,13.2,9.6
34530,Livingstone,"20,389",46,"1,29,41,39,921","50,269","63,472",5.66,2.00,0.35,0.14,0.469,5.9,18.3,30.0,25.3,24.2,22.0,28.4
34570,Lockhart River,243,39,"90,85,763","29,043","37,390",9.29,2.02,0.22,0.11,0.512,np,20.7,33.6,43.0,31.6,14.8,10.7
34580,Lockyer Valley,"21,680",42,"1,08,98,31,028","42,615","50,269",5.00,1.79,0.36,0.15,0.453,7.2,18.5,29.3,28.8,28.9,25.8,16.5
34590,Logan,"1,68,600",40,"9,11,32,48,974","48,650","54,052",3.95,1.65,0.42,0.20,0.398,5.0,15.8,26.1,23.0,28.4,30.3,18.3
34710,Longreach,"2,320",44,"12,52,78,054","49,644","53,999",4.48,1.71,0.38,0.12,0.500,6.8,18.8,29.7,24.4,25.7,29.1,20.8
34770,Mackay,"68,966",43,"4,73,07,51,266","56,171","68,595",4.88,1.92,0.39,0.17,0.439,5.4,16.7,28.0,21.1,23.3,23.3,32.2
34800,McKinlay,511,44,"3,03,96,958","50,450","59,485",3.79,1.69,0.45,0.19,0.593,11.9,25.8,37.7,20.7,28.7,30.9,19.7
34830,Mapoon,76,38,"36,23,849","44,383","47,682",np,np,np,np,np,np,np,np,24.4,34.6,29.5,11.5
34860,Maranoa,"7,533",43,"41,21,43,346","47,174","54,712",4.94,1.82,0.37,0.11,0.507,6.7,19.4,30.9,25.9,26.7,25.6,21.9
34880,Mareeba,"12,020",45,"57,85,04,639","39,721","48,129",5.45,1.89,0.35,0.14,0.473,6.1,18.7,30.2,31.2,29.1,24.0,15.8
35010,Moreton Bay,"2,46,071",42,"14,23,45,55,046","49,324","57,847",4.47,1.76,0.39,0.17,0.432,6.1,17.9,28.7,24.0,26.5,27.6,21.9
35250,Mornington,318,39,"1,61,26,681","39,591","50,713",5.37,2.10,0.39,0.20,0.435,np,16.6,28.0,27.8,32.8,19.7,19.7
35300,Mount Isa,"10,968",37,"86,03,15,031","68,623","78,439",4.21,1.80,0.43,0.22,0.398,5.2,14.9,24.9,16.3,20.0,23.4,40.2
35600,Murweh,"2,423",43,"12,33,81,839","46,181","50,921",4.35,1.68,0.39,0.13,0.495,6.7,18.8,30.0,26.5,28.2,28.2,17.1
35670,Napranum,291,40,"1,34,22,558","36,503","46,126",7.38,2.17,0.29,0.13,0.445,np,13.0,25.1,35.0,25.5,21.4,18.0
35740,Noosa,"33,514",49,"1,85,01,36,840","39,192","55,205",5.76,2.05,0.36,0.13,0.525,11.1,25.6,37.2,31.8,29.4,20.3,18.6
35760,North Burnett,"5,534",47,"23,51,13,616","34,137","42,485",6.49,1.93,0.30,0.09,0.530,7.2,21.0,33.5,36.7,30.2,20.5,12.6
35780,Northern Peninsula Area,893,37,"4,15,09,779","40,097","46,484",4.00,1.77,0.44,0.24,0.395,3.3,14.6,25.8,27.0,36.0,22.4,14.5
35790,Palm Island,590,39,"2,83,02,874","42,228","47,971",4.93,1.69,0.34,0.17,0.419,4.9,17.1,27.3,28.4,32.3,27.2,12.1
35800,Paroo,764,48,"3,23,69,287","39,538","42,368",5.44,1.92,0.35,0.07,0.595,4.6,17.9,30.3,29.4,30.7,25.2,14.8
36070,Pormpuraaw,233,41,"82,86,215","26,794","35,563",6.68,2.09,0.31,0.16,0.499,np,17.5,31.7,44.8,30.9,13.5,10.9
36150,Quilpie,516,46,"2,45,60,481","43,818","47,598",4.69,1.81,0.39,0.10,0.555,4.2,16.8,29.0,26.6,28.8,26.4,18.1
36250,Redland,"90,570",45,"5,64,96,64,595","51,173","62,379",4.60,1.80,0.39,0.17,0.449,7.6,19.7,30.5,23.3,25.3,26.7,24.7
36300,Richmond,494,42,"2,65,96,430","48,022","53,839",4.03,1.64,0.41,0.15,0.518,np,21.2,32.4,23.8,29.0,30.4,16.7
36370,Rockhampton,"41,500",41,"2,53,50,68,562","51,914","61,086",4.57,1.79,0.39,0.17,0.432,6.2,17.5,28.3,22.8,25.0,27.1,25.1
36510,Scenic Rim,"22,560",47,"1,15,56,71,869","42,457","51,227",5.46,1.89,0.35,0.12,0.470,6.5,18.7,30.0,29.5,28.0,23.9,18.6
36580,Somerset,"12,267",45,"61,32,97,948","44,260","49,996",5.12,1.77,0.35,0.12,0.450,5.5,17.0,27.8,28.2,27.5,26.9,17.4
36630,South Burnett,"15,104",46,"71,39,80,336","39,974","47,271",6.09,1.87,0.31,0.09,0.484,5.9,18.4,30.4,32.3,28.6,23.1,16.0
36660,Southern Downs,"19,156",46,"83,42,83,785","37,782","43,552",5.48,1.79,0.33,0.11,0.476,6.5,18.6,30.0,33.4,30.9,23.4,12.3
36720,Sunshine Coast,"1,86,016",45,"10,35,06,82,963","43,817","55,644",5.21,1.90,0.37,0.14,0.477,7.9,21.1,32.4,28.1,28.0,23.8,20.1
36820,Tablelands,"13,675",49,"66,24,50,657","39,353","48,442",6.10,1.94,0.32,0.10,0.495,6.5,19.7,31.5,32.4,28.6,22.2,16.8
36910,Toowoomba,"92,300",43,"5,22,92,95,833","48,226","56,655",4.82,1.77,0.37,0.13,0.456,7.5,19.4,30.1,25.6,26.1,27.3,21.0
36950,Torres,"1,806",40,"11,38,14,466","55,467","63,020",3.89,1.69,0.44,0.23,0.394,5.5,15.5,25.6,19.2,24.4,29.3,27.0
36960,Torres Strait Island,"1,007",38,"4,41,72,041","39,809","43,865",3.70,1.61,0.44,0.19,0.389,4.6,15.5,26.1,25.1,42.1,21.9,10.9
37010,Townsville,"1,06,596",41,"6,69,23,05,603","54,163","62,782",4.06,1.70,0.42,0.19,0.417,6.7,17.8,28.0,20.7,25.0,28.9,25.4
37300,Weipa,"2,345",37,"21,49,39,998","82,098","91,659",3.20,1.55,0.48,0.25,0.382,10.0,18.4,27.1,11.7,14.9,24.3,49.0
37310,Western Downs,"17,778",43,"92,78,14,839","44,596","52,189",5.72,1.86,0.32,0.10,0.498,6.0,19.0,30.8,29.2,26.1,25.0,19.7
37340,Whitsunday,"20,738",42,"1,17,42,44,209","45,686","56,623",4.47,1.87,0.42,0.19,0.453,6.8,19.0,30.6,24.8,29.9,24.7,20.6
37400,Winton,682,45,"3,25,87,077","44,431","47,782",4.48,1.83,0.41,0.11,0.590,7.6,20.3,31.9,25.5,30.7,25.2,18.6
37550,Woorabinda,252,39,"1,23,89,922","38,527","49,166",4.23,1.77,0.42,0.22,0.442,np,20.6,31.9,27.3,35.3,24.1,13.3
37570,Wujal Wujal,100,42,"44,14,681","41,389","44,147",np,np,np,np,np,np,np,np,28.9,39.2,19.6,12.4
37600,Yarrabah,515,38,"2,16,28,317","41,245","41,997",4.43,1.53,0.34,0.17,0.399,4.4,14.8,25.4,31.3,36.3,22.4,10.0
South Australia,,"9,57,802",44,"55,84,31,91,237","48,354","58,303",4.61,1.78,0.39,0.16,0.455,7.8,20.1,30.8,24.8,26.7,27.0,21.5
40070,Adelaide,"13,088",39,"1,00,87,98,009","50,793","77,078",7.27,2.10,0.29,0.10,0.567,13.1,29.5,41.5,28.5,20.7,21.1,29.8
40120,Adelaide Hills,"24,914",48,"1,74,22,10,951","52,564","69,929",5.35,1.91,0.36,0.14,0.500,9.9,24.0,35.2,24.6,23.3,23.4,28.8
40150,Adelaide Plains,"4,923",45,"27,23,28,163","48,195","55,318",4.04,1.73,0.43,0.20,0.416,5.6,16.8,27.2,22.5,29.3,28.3,19.9
40220,Alexandrina,"14,251",50,"67,41,72,859","38,502","47,307",5.98,1.92,0.32,0.11,0.480,6.8,19.5,31.0,32.8,29.0,22.7,15.4
40250,Anangu Pitjantjatjara,190,36,"79,41,843","26,471","41,799",np,np,np,np,0.496,np,18.0,31.8,42.9,24.1,17.8,15.2
40310,Barossa,"14,061",47,"78,61,44,764","48,581","55,910",4.55,1.74,0.38,0.15,0.434,6.2,17.7,28.3,24.6,26.7,27.9,20.8
40430,Barunga West,"1,192",52,"6,48,41,843","44,252","54,398",7.08,1.97,0.28,0.07,0.510,5.9,20.3,32.6,30.5,24.8,23.3,21.4
40520,Berri and Barmera,"5,652",47,"27,22,04,673","43,187","48,161",4.33,1.68,0.39,0.15,0.423,5.6,16.8,27.3,27.4,30.6,28.4,13.6
40700,Burnside,"29,757",49,"2,58,00,35,102","56,765","86,703",6.63,2.10,0.32,0.12,0.554,11.5,28.3,40.5,25.0,20.0,20.2,34.8
40910,Campbelltown,"29,910",44,"1,66,92,66,782","47,217","55,810",4.96,1.82,0.37,0.15,0.443,6.0,17.8,28.8,26.5,26.1,25.8,21.6
41010,Ceduna,"2,078",44,"11,31,11,225","48,215","54,433",4.58,1.72,0.37,0.17,0.429,5.4,16.7,27.2,24.3,27.0,28.7,20.0
41060,Charles Sturt,"67,353",43,"3,93,98,78,459","50,223","58,496",4.46,1.75,0.39,0.17,0.473,7.4,19.5,30.3,23.7,25.9,27.7,22.8
41140,Clare and Gilbert Valleys,"5,325",49,"27,99,88,021","43,166","52,580",5.14,1.88,0.36,0.12,0.469,6.1,19.3,30.8,28.2,28.5,24.7,18.6
41190,Cleve,"1,045",48,"4,86,68,246","39,306","46,572",8.29,1.90,0.23,0.02,0.603,7.3,23.0,35.3,33.0,26.2,24.0,16.8
41330,Coober Pedy,751,44,"3,53,81,122","44,081","47,112",5.23,1.65,0.32,0.12,0.422,4.1,15.1,26.0,29.1,28.2,28.6,14.1
41560,Copper Coast,"6,938",49,"33,37,66,617","40,118","48,107",5.54,1.86,0.34,0.12,0.467,6.0,18.6,30.0,30.3,30.0,23.6,16.1
41750,Elliston,591,48,"2,56,63,768","35,781","43,424",8.50,2.19,0.26,0.03,0.652,5.3,21.2,35.4,35.9,25.1,21.5,17.5
41830,Flinders Ranges,910,50,"5,01,74,680","46,585","55,137",5.91,1.87,0.32,0.08,0.460,4.8,17.4,28.9,27.9,25.2,23.9,23.0
41960,Franklin Harbour,663,49,"3,35,17,459","40,195","50,554",6.66,2.08,0.31,0.08,0.508,5.8,19.9,31.8,29.0,31.7,19.8,19.5
42030,Gawler,"12,704",44,"69,46,13,286","48,960","54,677",3.96,1.68,0.42,0.19,0.400,5.1,15.7,25.9,22.5,28.4,29.6,19.5
42110,Goyder,"2,117",50,"10,85,29,688","40,778","51,266",5.94,1.86,0.31,0.08,0.517,10.9,24.0,34.9,31.5,28.4,23.7,16.4
42250,Grant,"4,098",47,"23,46,87,916","49,209","57,269",4.50,1.74,0.39,0.16,0.451,7.2,19.0,29.6,24.7,26.1,27.6,21.6
42600,Holdfast Bay,"23,639",48,"1,66,12,95,045","53,474","70,278",5.18,1.90,0.37,0.14,0.488,9.1,22.9,34.3,23.7,23.0,24.5,28.8
42750,Kangaroo Island,"2,783",50,"12,64,89,021","36,571","45,451",5.20,1.87,0.36,0.13,0.485,6.2,20.0,31.9,31.9,33.3,21.3,13.4
43080,Karoonda East Murray,540,50,"2,05,36,437","32,857","38,030",10.84,1.99,0.18,0.02,0.587,5.2,19.4,32.4,38.1,28.3,22.1,11.5
43220,Kimba,604,48,"2,96,40,264","40,059","49,073",7.39,1.99,0.27,0.03,0.569,6.3,20.7,34.0,31.7,26.4,23.8,18.2
43360,Kingston,"1,279",50,"7,41,96,749","46,437","58,012",5.08,1.83,0.36,0.18,0.487,7.5,22.6,33.7,27.1,27.1,24.7,21.1
43650,Light,"8,714",45,"49,92,54,317","50,869","57,293",4.08,1.70,0.42,0.19,0.410,5.0,16.1,26.6,22.1,26.8,29.3,21.9
43710,Lower Eyre Peninsula,"3,073",47,"16,41,22,342","44,802","53,408",4.81,1.83,0.38,0.13,0.471,5.8,18.8,30.2,26.6,28.8,25.2,19.4
43790,Loxton Waikerie,"6,233",47,"30,39,04,532","42,214","48,757",4.58,1.73,0.38,0.15,0.442,5.7,18.2,29.0,27.3,31.3,27.0,14.4
44000,Maralinga Tjarutja,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
44060,Marion,"52,672",42,"2,94,62,40,552","49,664","55,936",4.44,1.72,0.39,0.17,0.414,5.3,16.2,26.7,24.1,26.1,28.6,21.3
44210,Mid Murray,"4,230",51,"18,92,18,229","38,628","44,732",5.85,1.84,0.31,0.09,0.471,5.8,18.0,29.4,32.9,29.3,24.8,13.0
44340,Mitcham,"41,073",46,"2,85,05,02,702","53,864","69,401",5.49,1.91,0.35,0.14,0.483,8.9,22.0,33.2,24.5,22.1,23.4,29.9
44550,Mount Barker,"20,621",44,"1,18,88,47,881","48,793","57,652",4.50,1.79,0.40,0.17,0.438,6.6,18.2,28.9,24.0,27.0,26.8,22.2
44620,Mount Gambier,"14,868",44,"79,17,33,255","47,905","53,251",3.98,1.65,0.41,0.18,0.406,5.7,16.6,26.7,23.7,28.7,30.2,17.4
44830,Mount Remarkable,"1,499",52,"7,39,62,625","41,095","49,341",7.27,2.00,0.27,0.05,0.522,5.5,18.9,31.1,32.5,24.7,23.6,19.2
45040,Murray Bridge,"10,928",44,"49,77,73,862","41,407","45,550",4.40,1.65,0.38,0.15,0.422,5.3,16.5,27.1,28.8,32.0,27.2,12.1
45090,Naracoorte and Lucindale,"5,472",44,"29,07,15,935","44,007","53,128",4.80,1.74,0.36,0.14,0.480,8.5,22.0,32.7,28.0,29.1,26.8,16.1
45120,Northern Areas,"2,507",49,"14,16,60,376","45,082","56,506",5.65,1.88,0.33,0.10,0.498,9.0,21.9,32.9,27.7,26.1,25.4,20.8
45290,Norwood Payneham St Peters,"22,480",44,"1,62,38,19,683","52,504","72,234",5.51,1.98,0.36,0.14,0.506,9.3,24.2,35.9,24.6,22.9,23.3,29.2
45340,Onkaparinga,"93,805",44,"4,95,48,55,708","47,643","52,821",4.06,1.67,0.41,0.18,0.403,5.0,15.8,26.1,24.0,28.5,29.7,17.8
45400,Orroroo/Carrieton,511,52,"2,64,85,020","39,607","51,830",7.56,2.22,0.29,0.10,0.503,5.8,18.3,31.0,31.2,27.1,20.6,21.0
45540,Peterborough,631,51,"2,88,75,162","38,248","45,761",4.78,1.86,0.39,0.18,0.434,4.5,16.0,27.9,29.0,33.1,24.6,13.3
45680,Playford,"41,523",38,"2,05,67,00,975","46,239","49,532",3.68,1.58,0.43,0.20,0.380,4.6,14.8,24.8,23.7,31.3,31.3,13.7
45890,Port Adelaide Enfield,"66,834",39,"3,61,78,26,205","48,162","54,132",4.29,1.71,0.40,0.18,0.410,5.2,16.1,26.5,24.6,27.3,28.7,19.4
46090,Port Augusta,"6,784",43,"39,91,43,096","51,941","58,836",4.19,1.74,0.41,0.20,0.400,4.6,15.1,25.6,21.7,26.2,27.7,24.5
46300,Port Lincoln,"8,162",44,"44,03,76,088","45,413","53,954",4.29,1.78,0.41,0.17,0.435,6.1,18.1,28.9,24.4,30.2,26.8,18.6
46450,Port Pirie City and Dists,"7,978",45,"43,25,59,583","46,804","54,219",4.89,1.81,0.37,0.15,0.431,5.0,16.3,26.9,25.8,26.9,26.1,21.2
46510,Prospect,"13,195",42,"91,01,16,435","55,600","68,974",4.72,1.83,0.39,0.17,0.454,7.6,20.2,31.2,21.6,23.0,25.8,29.6
46670,Renmark Paringa,"5,210",45,"25,27,56,481","42,099","48,514",4.33,1.69,0.39,0.15,0.445,7.3,19.2,29.9,27.9,32.3,26.2,13.5
46860,Robe,964,52,"4,97,63,991","39,219","51,622",6.54,2.06,0.32,0.10,0.529,6.8,21.8,34.6,31.4,28.9,20.9,18.8
46970,Roxby Downs,"2,554",36,"24,44,70,247","92,398","95,721",3.87,1.59,0.41,0.22,0.357,3.4,12.2,21.9,12.1,15.0,17.7,55.2
47140,Salisbury,"71,582",40,"3,59,08,22,155","46,749","50,164",3.75,1.59,0.42,0.20,0.383,4.6,14.9,24.9,23.9,30.1,31.7,14.4
47290,Southern Mallee,"1,240",47,"7,23,25,478","44,407","58,327",5.56,1.83,0.33,0.12,0.536,14.3,26.9,37.3,28.4,27.2,25.2,19.3
47490,Streaky Bay,"1,265",48,"6,00,30,141","36,920","47,455",6.40,2.11,0.33,0.10,0.522,5.7,20.0,32.6,33.7,28.8,20.6,16.9
47630,Tatiara,"4,431",45,"22,47,16,413","44,707","50,715",4.31,1.68,0.39,0.17,0.446,5.7,18.6,29.2,26.3,30.6,27.9,15.3
47700,Tea Tree Gully,"58,379",44,"3,28,78,72,733","50,362","56,319",4.14,1.70,0.41,0.18,0.404,4.9,15.8,26.1,22.6,26.8,29.3,21.4
47800,The Coorong,"2,826",48,"13,96,60,750","40,617","49,420",4.72,1.78,0.38,0.13,0.480,6.8,20.8,32.2,29.9,30.0,25.8,14.2
47910,Tumby Bay,"1,454",50,"6,10,65,448","35,249","41,998",7.82,2.06,0.26,0.05,0.569,5.4,19.0,31.9,35.8,27.6,21.3,15.3
47980,Unley,"24,682",46,"2,04,12,97,308","57,925","82,704",5.83,1.99,0.34,0.14,0.525,10.3,26.1,37.9,23.0,20.7,22.2,34.0
48050,Victor Harbor,"7,483",54,"32,47,42,672","34,252","43,397",6.86,1.95,0.28,0.08,0.502,7.3,21.0,32.8,37.5,29.7,19.6,13.3
48130,Wakefield,"3,544",46,"18,40,37,347","44,829","51,929",4.74,1.77,0.37,0.13,0.458,5.9,19.0,30.1,27.2,28.7,26.2,18.0
